EventID,EventType,StartDateTime,EndDateTime,EnteredOn,EventAgency,ParkingHeld,Borough,CommunityBoard(s),PolicePrecinct(s),Category,SubCategoryName,Country,ZipCode(s)
494269,Shooting Permit,6/28/19 8:00,6/29/19 2:00,6/25/19 12:10,"Mayor's Office of Film, Theatre & Broadcasting","HENDRICKSON STREET between FLATLANDS AVENUE and AVENUE P,  FLATLANDS AVENUE between FLATBUSH AVENUE and HENDRICKSON STREET,  FLATLANDS AVENUE between HENDRICKSON STREET and COLEMAN STREET,  FLATBUSH AVENUE between FLATLANDS AVENUE and TROY AVENUE,  FLATBUSH AVENUE between LOTT PLACE and TROY AVENUE,  LOTT PLACE between FLATBUSH AVENUE and HARDEN STREET,  AVENUE M between FLATBUSH AVENUE and HARDEN STREET,  BAUGHMAN PLACE between FLATBUSH AVENUE and TROY AVENUE,  AVENUE P between FLATBUSH AVENUE and HENDRICKSON STREET",Brooklyn,18,63,Film,Feature,United States of America,11234
494397,Shooting Permit,6/28/19 8:00,6/29/19 2:00,6/25/19 17:35,"Mayor's Office of Film, Theatre & Broadcasting","WEST END AVENUE between WEST  100 STREET and WEST  104 STREET,  WEST END AVENUE between WEST  102 STREET and WEST  105 STREET,  WEST END AVENUE between WEST  105 STREET and WEST  106 STREET,  WEST  105 STREET between RIVERSIDE DRIVE and WEST END AVENUE,  RIVERSIDE DRIVE between WEST  105 STREET and WEST  106 STREET",Manhattan,7,24,Television,Not Applicable,United States of America,10025
494253,Shooting Permit,6/28/19 7:00,6/28/19 23:00,6/25/19 11:29,"Mayor's Office of Film, Theatre & Broadcasting",2 AVENUE between 36 STREET and 35 STREET,Brooklyn,7,72,Commercial,Commercial,United States of America,11232
494804,Shooting Permit,6/28/19 7:00,6/28/19 23:00,6/27/19 14:10,"Mayor's Office of Film, Theatre & Broadcasting","EAST  140 STREET between LOCUST AVENUE and WALNUT AVENUE,  WALNUT AVENUE between EAST  139 STREET and EAST  140 STREET,  EAST  139 STREET between WALNUT AVENUE and LOCUST AVENUE",Bronx,1,40,Television,Episodic series,United States of America,10454
494109,Shooting Permit,6/28/19 7:00,6/28/19 21:00,6/24/19 16:32,"Mayor's Office of Film, Theatre & Broadcasting","REVIEW AVENUE between 35 STREET and 30 STREET,  STARR AVENUE between VAN DAM STREET and 34 STREET",Queens,2,108,Television,Cable-episodic,United States of America,11101
494476,Shooting Permit,6/28/19 7:00,6/28/19 18:00,6/26/19 10:12,"Mayor's Office of Film, Theatre & Broadcasting","MONTAGUE STREET between MONTAGUE TERRACE and HICKS STREET,  MONTAGUE TERRACE between MONTAGUE STREET and REMSEN STREET,  REMSEN STREET between HICKS STREET and HENRY STREET",Brooklyn,2,84,Still Photography,Not Applicable,United States of America,11201
493930,Shooting Permit,6/28/19 7:00,6/28/19 19:00,6/24/19 7:37,"Mayor's Office of Film, Theatre & Broadcasting","AMSTERDAM AVENUE between WEST  153 STREET and WEST  154 STREET,  AMSTERDAM AVENUE between WEST  154 STREET and WEST  155 STREET,  WEST  154 STREET between AMSTERDAM AVENUE and ST NICHOLAS AVENUE",Manhattan,9,30,Film,Feature,United States of America,10032
494803,Shooting Permit,6/28/19 7:00,6/28/19 23:00,6/27/19 14:10,"Mayor's Office of Film, Theatre & Broadcasting","Kingsland Avenue between Greenpoint Avenue and Dead End Avenue,  Kingsland Avenue between Greennpoint Avenue and North Henry Street",Brooklyn,1,94,Television,Cable-episodic,United States of America,11222
494135,Shooting Permit,6/28/19 7:00,6/28/19 19:00,6/24/19 17:43,"Mayor's Office of Film, Theatre & Broadcasting",EAST   19 STREET between AVENUE H and GLENWOOD ROAD,Brooklyn,14,70,Still Photography,Not Applicable,United States of America,11230
494556,Rigging Permit,6/28/19 7:00,6/28/19 19:00,6/26/19 13:44,"Mayor's Office of Film, Theatre & Broadcasting",34 AVENUE between 35 STREET and 36 STREET,Queens,1,114,Television,Cable-episodic,United States of America,11106
494047,Shooting Permit,6/28/19 6:00,6/28/19 20:00,6/24/19 14:04,"Mayor's Office of Film, Theatre & Broadcasting","WATER STREET between OLD SLIP and WALL STREET,  WASHINGTON STREET between CANAL STREET and SPRING STREET",Manhattan,"1, 2",1,Still Photography,Not Applicable,United States of America,"10004, 10005, 10013, 10014, 10038"
494502,Shooting Permit,6/28/19 1:00,6/28/19 22:00,6/26/19 11:04,"Mayor's Office of Film, Theatre & Broadcasting","CLINTON STREET between PIERREPONT STREET and MONTAGUE STREET,  CLINTON STREET between REMSEN STREET and MONTAGUE STREET",Brooklyn,2,84,WEB,Not Applicable,United States of America,11201
492197,Shooting Permit,6/28/19 1:00,6/28/19 16:00,6/14/19 11:50,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
494278,Theater Load in and Load Outs,6/28/19 0:01,6/29/19 6:00,6/25/19 12:42,"Mayor's Office of Film, Theatre & Broadcasting","FROST STREET between DEBEVOISE AVENUE and MORGAN AVENUE,  DEBEVOISE AVENUE between FROST STREET and RICHARDSON STREET",Brooklyn,1,94,Theater,Theater,United States of America,11222
492176,Theater Load in and Load Outs,6/28/19 0:01,6/28/19 23:59,6/14/19 10:59,"Mayor's Office of Film, Theatre & Broadcasting","EAST   11 STREET between 3 AVENUE and 4 AVENUE,  3 AVENUE between EAST   11 STREET and EAST   12 STREET",Manhattan,"11, 3","23, 9",Theater,Theater,United States of America,"10003, 10029"
494213,Theater Load in and Load Outs,6/28/19 0:01,6/30/19 6:00,6/25/19 9:48,"Mayor's Office of Film, Theatre & Broadcasting",WEST   33 STREET between 7 AVENUE and 8 AVENUE,Manhattan,5,14,Theater,Theater,United States of America,"10001, 10121"
494258,Shooting Permit,6/27/19 19:00,6/28/19 7:00,6/25/19 11:42,"Mayor's Office of Film, Theatre & Broadcasting","MCCLEAN AVENUE between CONGER STREET and OCEAN AVENUE,  OCEAN AVENUE between MCCLEAN AVENUE and CEDAR AVENUE,  OCEAN AVE between CEDAR AVENUE and ROBIN ROAD,  FLORIDA AVENUE between MCCLEAN AVENUE and MAJOR AVENUE,  MCCLEAN AVENUE between FLORIDA AVENUE and LILY POND AVENUE,  RAILROAD AVENUE between MCCLEAN AVENUE and CEDAR AVENUE,  HASTINGS STREET between MCCLEAN AVENUE and MAJOR AVENUE",Staten Island,2,122,Film,Feature,United States of America,10305
494235,Shooting Permit,6/27/19 18:00,6/28/19 6:00,6/25/19 10:57,"Mayor's Office of Film, Theatre & Broadcasting","AMSTERDAM AVENUE between WEST  162 STREET and WEST  166 STREET,  WEST  165 STREET between SAINT NICHOLAS AVENUE and AMSTERDAM AVENUE,  WEST  164 STREET between SAINT NICHOLAS AVENUE and AMSTERDAM AVENUE,  WEST  164 STREET between AMSTERDAM AVENUE and EDGECOMBE AVENUE,  WEST  163 STREET between SAINT NICHOLAS AVENUE and AMSTERDAM AVENUE,  WEST  163 STREET between AMSTERDAM AVENUE and EDGECOMBE AVENUE,  WEST  162 STREET between AMSTERDAM AVENUE and EDGECOMBE AVENUE,  EDGECOMBE AVENUE between WEST  166 STREET and WEST  162 STREET,  SAINT NICHOLAS AVENUE between WEST  164 STREET and WEST  162 STREET,  SAINT NICHOLAS AVENUE between WEST  165 STREET and WEST  164 STREET",Manhattan,12,33,Television,Episodic series,United States of America,10032
493751,Shooting Permit,6/27/19 16:00,6/28/19 6:00,6/21/19 17:41,"Mayor's Office of Film, Theatre & Broadcasting","WEST   13 STREET between 5 AVENUE and 6 AVENUE,  EAST   13 STREET between 5 AVENUE and UNIVERSITY PLACE,  EAST   12 STREET between 5 AVENUE and UNIVERSITY PLACE,  5 AVENUE between EAST   11 STREET and EAST   14 STREET,  5 AVENUE between EAST   14 STREET and EAST   15 STREET,  5 AVENUE between EAST   14 STREET and EAST   13 STREET,  5 AVENUE between WEST   12 STREET and WEST   13 STREET",Manhattan,"2, 5","13, 6",Film,Feature,Canada,"10003, 10011"
494265,Shooting Permit,6/27/19 15:00,6/28/19 5:00,6/25/19 11:59,"Mayor's Office of Film, Theatre & Broadcasting","PROVOST STREET between INDIA STREET and PAIDGE AVENUE,  GREENE STREET between PROVOST STREET and MCGUINNESS BOULEVARD,  FREEMAN STREET between PROVOST STREET and MCGUINNESS BOULEVARD",Brooklyn,1,94,Film,Feature,United States of America,11222
493128,Shooting Permit,6/27/19 14:00,6/28/19 0:00,6/19/19 10:22,"Mayor's Office of Film, Theatre & Broadcasting","3 STREET between 4 AVENUE and 5 AVENUE,  3 STREET between 4 AVENUE and 5 AVENUE",Brooklyn,6,78,Film,Short,United States of America,11215
494314,Shooting Permit,6/27/19 13:30,6/27/19 18:00,6/25/19 14:41,"Mayor's Office of Film, Theatre & Broadcasting",NORTH HENRY STREET between DRIGGS AVENUE and ENGERT AVENUE,Brooklyn,1,94,WEB,Not Applicable,United States of America,11222
494276,Shooting Permit,6/27/19 13:00,6/28/19 4:00,6/25/19 12:29,"Mayor's Office of Film, Theatre & Broadcasting","VETERANS ROAD EAST between SHARROTTS ROAD and BEND,  CLAY PIT ROAD between VETERANS ROAD EAST and BLOOMINGDALE ROAD,  WOODROW ROAD between VETERANS ROAD EAST and VETERANS ROAD WEST,  VETERANS ROAD WEST between ENGLEWOOD AVENUE and SHARROTS ROAD,  ENGLEWOOD AVENUE between VETERANS ROAD WEST and ARTHUR KILL ROAD",Staten Island,3,123,Television,Cable-episodic,United States of America,10309
494140,Shooting Permit,6/27/19 12:00,6/27/19 22:00,6/24/19 17:56,"Mayor's Office of Film, Theatre & Broadcasting",WEST   43 STREET between 7 AVENUE and 8 AVENUE,Manhattan,5,14,Theater,Theater,United States of America,10036
494498,Shooting Permit,6/27/19 12:00,6/28/19 3:00,6/26/19 10:50,"Mayor's Office of Film, Theatre & Broadcasting","AUDUBON AVENUE between WEST  174 STREET and WEST  176 STREET,  WEST  175 STREET between ST NICHOLAS AVENUE and AMSTERDAM AVENUE,  WEST  174 STREET between AUDUBON AVENUE and AMSTERDAM AVENUE,  WEST  174 STREET between ST NICHOLAS AVENUE and AUDUBON AVENUE,  WEST  174 STREET between AUDUBON AVENUE and AMSTERDAM AVENUE,  WEST  176 STREET between ST NICHOLAS AVENUE and AUDUBON AVENUE,  WEST  176 STREET between AUDUBON AVENUE and AMSTERDAM AVENUE,  ST NICHOLAS AVENUE between WEST  173 STREET and WEST  174 STREET,  ST NICHOLAS AVENUE between WEST  174 STREET and WEST  175 STREET,  ST NICHOLAS AVENUE between WEST  175 STREET and WEST  176 STREET,  WADSWORTH AVENUE between WEST  174 STREET and WEST  175 STREET,  ST NICHOLAS AVENUE between WEST  178 STREET and WEST  179 STREET,  ST NICHOLAS AVENUE between WEST  179 STREET and WEST  180 STREET,  ST NICHOLAS AVENUE between WEST  179 STREET and WEST  180 STREET,  WEST  179 STREET between ST NICHOLAS AVENUE and AUDUBON AVENUE",Manhattan,12,"33, 34",Film,Feature,United States of America,10033
494133,Shooting Permit,6/27/19 11:30,6/28/19 1:30,6/24/19 17:37,"Mayor's Office of Film, Theatre & Broadcasting","CANAL STREET between WRIGHT STREET and BROAD STREET,  GORDON STREET between BROAD STREET and LAUREL AVENUE,  WARREN STREET between GORDON STREET and FULTON STREET,  HILL ST between TOMPKINS AVENUE and WARREN STREET,  BROAD STREET between TOMPKINS AVENUE and TARGEE STREET,  TOMPKINS AVE between BROAD STREET and HILL STREET,  PORT RICHMOND AVENUE between BLACKFORD AVENUE and LA FORGE AVENUE,  PORT RICHMOND AVENUE between HOOKER PLACE and WALKER STREET,  LAFORGE AVENUE between LAFORGE PLACE and PORT RICHMOND AVENUE,  HOOKER PLACE between LAFORGE PLACE and PORT RICHMOND AVENUE,  HOMESTEAD AVENUE between PORT RICHMOND AVENUE and HEBERTON AVENUE,  RAINBOW AVENUE between PORT RICHMOND AVENUE and HEBERTON AVENUE,  CATHERINE STREET between PORT RICHMOND AVENUE and HEBERTON AVENUE,  LAGRANGE PLACE between CATHERINE STREET and BEEKMAN STREET",Staten Island,1,"120, 121",Television,Episodic series,United States of America,"10302, 10304"
494309,Shooting Permit,6/27/19 10:00,6/27/19 22:00,6/25/19 14:30,"Mayor's Office of Film, Theatre & Broadcasting","STARR AVENUE between VAN DAM STREET and BORDEN AVENUE,  REVIEW AVENUE between 35 STREET and BORDEN AVENUE",Queens,2,108,Television,Cable-other,United States of America,11101
492194,Rigging Permit,6/27/19 9:00,6/27/19 16:00,6/14/19 11:45,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
494254,Shooting Permit,6/27/19 8:00,6/27/19 23:30,6/25/19 11:32,"Mayor's Office of Film, Theatre & Broadcasting","AMSTERDAM AVENUE between WEST  153 STREET and WEST  155 STREET,  WEST  155 STREET between BROADWAY and AMSTERDAM AVENUE,  AMSTERDAM AVENUE between WEST  151 STREET and WEST  152 STREET,  WEST  152 STREET between AMSTERDAM AVENUE and BROADWAY,  WEST  154 STREET between AMSTERDAM AVENUE and ST NICHOLAS AVENUE,  ST NICHOLAS AVENUE between WEST  153 STREET and WEST  154 STREET,  ST NICHOLAS AVENUE between WEST  154 STREET and WEST  155 STREET,  WEST  155 STREET between AMSTERDAM AVENUE and ST NICHOLAS AVENUE",Manhattan,"12, 9","30, 33",Film,Feature,United States of America,"10031, 10032"
494250,Shooting Permit,6/27/19 8:00,6/27/19 23:59,6/25/19 11:24,"Mayor's Office of Film, Theatre & Broadcasting","HENDRICKSON STREET between FLATLANDS AVENUE and AVENUE P,  FLATLANDS AVENUE between FLATBUSH AVENUE and HENDRICKSON STREET,  FLATLANDS AVENUE between HENDRICKSON STREET and COLEMAN STREET,  FLATBUSH AVENUE between FLATLANDS AVENUE and TROY AVENUE,  FLATBUSH AVENUE between LOTT PLACE and TROY AVENUE,  LOTT PLACE between FLATBUSH AVENUE and HARDEN STREET,  AVENUE M between FLATBUSH AVENUE and HARDEN STREET,  BAUGHMAN PLACE between FLATBUSH AVENUE and TROY AVENUE,  AVENUE P between FLATBUSH AVENUE and HENDRICKSON STREET",Brooklyn,18,63,Film,Feature,United States of America,11234
494391,Shooting Permit,6/27/19 8:00,6/28/19 2:00,6/25/19 17:08,"Mayor's Office of Film, Theatre & Broadcasting","WEST END AVENUE between WEST  100 STREET and WEST  104 STREET,  WEST END AVENUE between WEST  102 STREET and WEST  105 STREET,  WEST END AVENUE between WEST  105 STREET and WEST  106 STREET,  WEST  105 STREET between RIVERSIDE DRIVE and WEST END AVENUE,  RIVERSIDE DRIVE between WEST  105 STREET and WEST  106 STREET",Manhattan,7,24,Television,Not Applicable,United States of America,10025
493682,Shooting Permit,6/27/19 7:00,6/27/19 20:00,6/21/19 14:41,"Mayor's Office of Film, Theatre & Broadcasting",CENTRAL PARK WEST between WEST  104 STREET and WEST  106 STREET,Manhattan,"64, 7","22, 24",Still Photography,Not Applicable,United States of America,10025
494571,Rigging Permit,6/27/19 7:00,6/27/19 19:00,6/26/19 14:26,"Mayor's Office of Film, Theatre & Broadcasting",34 AVENUE between 35 STREET and 36 STREET,Queens,1,114,Television,Cable-episodic,United States of America,11106
494246,Shooting Permit,6/27/19 7:00,6/27/19 23:00,6/25/19 11:18,"Mayor's Office of Film, Theatre & Broadcasting",2 AVENUE between 36 STREET and 35 STREET,Brooklyn,7,72,Commercial,Commercial,United States of America,11232
494531,Shooting Permit,6/27/19 7:00,6/27/19 23:00,6/26/19 12:15,"Mayor's Office of Film, Theatre & Broadcasting","EAST  140 STREET between LOCUST AVENUE and WALNUT AVENUE,  WALNUT AVENUE between EAST  139 STREET and EAST  140 STREET,  EAST  139 STREET between WALNUT AVENUE and LOCUST AVENUE",Bronx,1,40,Television,Episodic series,United States of America,10454
494108,Shooting Permit,6/27/19 6:00,6/27/19 20:00,6/24/19 16:32,"Mayor's Office of Film, Theatre & Broadcasting","REVIEW AVENUE between 35 STREET and 30 STREET,  STARR AVENUE between VAN DAM STREET and 34 STREET",Queens,2,108,Television,Cable-episodic,United States of America,11101
