Name,Period,Diet,Country
Alocodon,Jurassic,(herbivore),Portugal
Altirhinus,Cretaceous,herbivore,Mongolia
Altispinax,Cretaceous,carnivore,England
Alvarezsaurus,Cretaceous,carnivore,South America
Alwalkeria,Late Triassic,omnivore,India
Alxasaurus,Cretaceous,herbivore,Mongolia
Amargasaurus,Cretaceous,herbivore,South America
Amargatitanis,Cretaceous,herbivore,South America
Amazonsaurus,Cretaceous,herbivore,South America
Ampelosaurus,Cretaceous,herbivore,France
Amphicoelias,Jurassic,herbivore,North America
Amtocephale,Cretaceous,herbivore,Mongolia
Amtosaurus,Cretaceous,herbivore,Mongolia
Amurosaurus,Cretaceous,herbivore,Russia & China
Amygdalodon,Jurassic,herbivore,South America
Anabisetia,Cretaceous,herbivore,South America
Anasazisaurus,Cretaceous,herbivore,North America
Anchiceratops,Cretaceous,herbivore,North America
Anchiornis,Jurassic,carnivore,China
Anchisaurus,Jurassic,herbivore,North America
Andesaurus,Cretaceous,herbivore,South America
Angaturama,Cretaceous,carnivore,South America
Angolatitan,Cretaceous,herbivore,Angola
Angulomastacator,Cretaceous,herbivore,North America
Aniksosaurus,Cretaceous,carnivore,South America
Animantarx,Cretaceous,herbivore,North America
Ankylosaurus,Cretaceous,herbivore,North America
Anodontosaurus,Cretaceous,herbivore,North America
Anoplosaurus,Cretaceous,herbivore,England
Anserimimus,Cretaceous,omnivore,Mongolia
Antarctopelta,Late Cretaceous,herbivore,Antarctica
Antarctosaurus,Cretaceous,herbivore,South America
Antetonitrus,Triassic or Jurassic,herbivore,South Africa
Antrodemus,Jurassic,carnivore,North America
Anzu,Cretaceous,omnivore,North America
Aoniraptor,Cretaceous,carnivore,South America
Aorun,Jurassic,carnivore,China
Apatodon,Jurassic,carnivore,North America
Apatosaurus,Jurassic,herbivore,North America
Appalachiosaurus,Cretaceous,carnivore,North America
Aquilarhinus,Cretaceous,herbivore,North America
Aragosaurus,Cretaceous,herbivore,Spain
Aralosaurus,Cretaceous,herbivore,Kazakhstan
Archaeoceratops,Cretaceous,herbivore,China
Archaeodontosaurus,Middle Jurassic,herbivore,Madagascar
Archaeopteryx,Jurassic,carnivore,Germany
Archaeornithoides,Cretaceous,carnivore,Mongolia
Archaeornithomimus,Cretaceous,omnivore,China
Arcovenator,Cretaceous,carnivore,France
Arcusaurus,Jurassic,herbivore,South Africa
Arenysaurus,Cretaceous,herbivore,Spain
Argentinosaurus,Cretaceous,herbivore,South America
Argyrosaurus,Cretaceous,herbivore,South America
Aristosuchus,Cretaceous,carnivore,England
Arkansaurus,Cretaceous,omnivore,North America
Arkharavia,Cretaceous,herbivore,Russia
Arrhinoceratops,Cretaceous,herbivore,North America
Arstanosaurus,Cretaceous,herbivore,Kazakhstan
Asiaceratops,Cretaceous,herbivore,Mongolia & China
Asiatosaurus,Cretaceous,herbivore,China & Mongolia
Astrodon,Cretaceous,herbivore,North America
Astrophocaudia,Cretaceous,herbivore,North America
Asylosaurus,Triassic,herbivore/omnivore,England
Atacamatitan,Cretaceous,herbivore,South America
Atlantosaurus,Jurassic,herbivore,North America
Atlasaurus,Jurassic,herbivore,Morocco
Atlascopcosaurus,Early Cretaceous,herbivore,Australia
Atrociraptor,Cretaceous,carnivore,North America
Atsinganosaurus,Cretaceous,herbivore,France
Aublysodon,Cretaceous,carnivore,North America
Aucasaurus,Cretaceous,carnivore,South America
Augustynolophus,Cretaceous,herbivore,North America
Auroraceratops,Cretaceous,herbivore,China & South Korea
Aurornis,Jurassic,carnivore,China
Australodocus,Jurassic,herbivore,Tanzania
Australovenator,Early-Late Cretaceous,carnivore,Australia
Austrocheirus,Cretaceous,carnivore,South America
Austroraptor,Cretaceous,carnivore,South America
Austrosaurus,Early Cretaceous,herbivore,Australia
Avaceratops,Cretaceous,herbivore,North America
Aviatyrannis,Jurassic,carnivore,Portugal
Avimimus,Cretaceous,omnivore,Mongolia
Bactrosaurus,Cretaceous,herbivore,China
Bagaceratops,Cretaceous,herbivore,Mongolia
Bagaraatan,Cretaceous,carnivore,Mongolia
Bahariasaurus,Cretaceous,carnivore,"Egypt,Niger, Morocco, Algeria"
Bainoceratops,Cretaceous,herbivore,Mongolia
Bajadasaurus,Cretaceous,herbivore,South America
Bakesaurus,Cretaceous,(unknown),China
Balaur,Cretaceous,herbivore/omnivore,Romania
Balochisaurus,Cretaceous,herbivore,Pakistan
Bambiraptor,Cretaceous,carnivore,North America
Banji,Cretaceous,omnivore,China
Baotianmansaurus,Cretaceous,herbivore,China
Barapasaurus,Early Jurassic,herbivore,India
Barilium,Cretaceous,herbivore,England
Barosaurus,Jurassic,herbivore,North America
Barrosasaurus,Cretaceous,herbivore,South America
Barsboldia,Cretaceous,herbivore,Mongolia
Baryonyx,Cretaceous,carnivore,"Spain, Portugal, England"
Batyrosaurus,Cretaceous,herbivore,Kazakhstan
Baurutitan,Cretaceous,herbivore,South America
Bayosaurus,Cretaceous,carnivore,South America
Beelemodon,Jurassic,carnivore,North America
Beipiaosaurus,Cretaceous,herbivore,China
Beishanlong,Cretaceous,omnivore,China
Bellusaurus,Jurassic,herbivore,China
Berberosaurus,Jurassic,carnivore,Morocco
Betasuchus,Cretaceous,carnivore,Netherlands
Bicentenaria,Cretaceous,carnivore,South America
Bienosaurus,Jurassic,herbivore,China
Bihariosaurus,Cretaceous,herbivore,Romania
Bissektipelta,Cretaceous,herbivore,Uzbekistan
Bistahieversor,Cretaceous,carnivore,North America
Blasisaurus,Cretaceous,herbivore,Spain
Blikanasaurus,Triassic,herbivore,South Africa
Bolong,Cretaceous,herbivore,China
Bonapartenykus,Cretaceous,carnivore,South America
Bonatitan,Cretaceous,herbivore,South America
Bonitasaura,Cretaceous,herbivore,South America
Borealosaurus,Cretaceous,herbivore,China
Borogovia,Cretaceous,carnivore,Mongolia
Bothriospondylus,Jurassic,herbivore,England
Brachiosaurus,Jurassic,herbivore,North America
Brachyceratops,Cretaceous,herbivore,North America
Brachylophosaurus,Cretaceous,herbivore,North America
Brachypodosaurus,Late Cretaceous,herbivore,India
Brachytrachelopan,Jurassic,herbivore,South America
Bradycneme,Cretaceous,(carnivore),Romania
Brasilotitan,Cretaceous,herbivore,South America
Bravoceratops,Cretaceous,herbivore,North America
Breviceratops,Cretaceous,herbivore,Mongolia
Brohisaurus,Jurassic,herbivore,Pakistan
Brontomerus,Cretaceous,herbivore,North America
Brontosaurus,Jurassic,herbivore,North America
Bruhathkayosaurus,Late Cretaceous,herbivore,India
Buitreraptor,Cretaceous,carnivore,South America
Burianosaurus,Cretaceous,herbivore,Czech Republic
Byronosaurus,Cretaceous,carnivore,Mongolia
Caenagnathasia,Cretaceous,omnivore,Uzbekistan
Calamosaurus,Cretaceous,carnivore,England
Calamospondylus,Cretaceous,(carnivore),England
Callovosaurus,Jurassic,herbivore,England
Camarasaurus,Jurassic,herbivore,North America
Camarillasaurus,Cretaceous,carnivore,Spain
Camelotia,Triassic,herbivore,England
Camposaurus,Triassic,carnivore,North America
Camptosaurus,Jurassic,herbivore,North America
Campylodoniscus,Cretaceous,herbivore,South America
Canardia,Cretaceous,herbivore,France
Capitalsaurus,Cretaceous,carnivore,North America
Carcharodontosaurus,Cretaceous,carnivore,"Egypt, Niger, Algeria, Morocco"
Cardiodon,Jurassic,herbivore,England
Carnotaurus,Cretaceous,carnivore,South America
Caseosaurus,Triassic,carnivore,North America
Cathartesaura,Cretaceous,herbivore,South America
Cathetosaurus,Jurassic,herbivore,North America
Caudipteryx,Cretaceous,omnivore,China
Cedarosaurus,Cretaceous,herbivore,North America
Cedarpelta,Cretaceous,herbivore,North America
Cedrorestes,Cretaceous,herbivore,North America
Centrosaurus,Cretaceous,herbivore,North America
Cerasinops,Cretaceous,herbivore,North America
Ceratonykus,Cretaceous,omnivore,Mongolia
Ceratops,Cretaceous,herbivore,North America
Ceratosaurus,Jurassic,carnivore,North America
Ceratosaurus,Jurassic,carnivore,Portugal & USA
Cetiosauriscus,Jurassic,herbivore,England
Cetiosaurus,Jurassic,herbivore,"England, France, Switzerland, Morocco"
Changchunsaurus,Cretaceous,herbivore,China
Changdusaurus,Jurassic,herbivore,China
Changyuraptor,Cretaceous,carnivore,China
Chaoyangsaurus,Jurassic,herbivore,China
Charonosaurus,Cretaceous,herbivore,"China, Russia, & Mongolia(?)"
Chasmosaurus,Cretaceous,herbivore,North America
Chebsaurus,Jurassic,herbivore,Algeria
Chenanisaurus,Cretaceous,carnivore,Morocco
Chialingosaurus,Jurassic,herbivore,China
Chiayusaurus,Jurassic,herbivore,China
Chilantaisaurus,Cretaceous,carnivore,China
Chilesaurus,Jurassic,herbivore,South America
Chindesaurus,Triassic,carnivore,North America
Chingkankousaurus,Cretaceous,carnivore,China
Chinshakiangosaurus,Jurassic,herbivore,China
Chirostenotes,Cretaceous,carnivore,North America
Chondrosteosaurus,Cretaceous,herbivore,England
Choyrodon,Cretaceous,herbivore,Mongolia
Chromogisaurus,Triassic,unknown,South America
Chuandongocoelurus,Jurassic,carnivore,China
Chuanjiesaurus,Jurassic,herbivore,China
Chuanqilong,Cretaceous,herbivore,China
Chubutisaurus,Cretaceous,herbivore,South America
Chungkingosaurus,Jurassic,herbivore,China
Chuxiongosaurus,Jurassic,herbivore,China
Cionodon,Cretaceous,herbivore,North America
Citipati,Cretaceous,omnivore,Mongolia
Claorhynchus,Cretaceous,herbivore,North America
Claosaurus,Cretaceous,herbivore,North America
Clasmodosaurus,Cretaceous,herbivore,South America
Coahuilaceratops,Cretaceous,herbivore,North America
Coelophysis,Triassic/Jurassic,carnivore,North America
Coelophysis,Jurassic,carnivore,"USA, South Africa, & Zimbabwe"
Coelosaurus,Cretaceous,carnivore,North America
Coeluroides,Late Cretaceous,carnivore,India
Coelurus,Jurassic,carnivore,North America
Colepiocephale,Cretaceous,herbivore,North America
Coloradisaurus,Triassic,herbivore,South America
Comahuesaurus,Cretaceous,herbivore,South America
Comanchesaurus,Triassic,carnivore,North America
Compsognathus,Jurassic,carnivore,Germany & France
Compsosuchus,Late Cretaceous,carnivore,India
Concavenator,Cretaceous,carnivore,Spain
Conchoraptor,Cretaceous,omnivore,Mongolia
Condorraptor,Jurassic,carnivore,South America
Coronosaurus,Cretaceous,herbivore,North America
Corythosaurus,Cretaceous,herbivore,North America
Craspedodon,Cretaceous,herbivore,Belgium
Craterosaurus,Cretaceous,herbivore,England
Crichtonpelta,Cretaceous,herbivore,China
Crichtonsaurus,Cretaceous,herbivore,China
Cristatusaurus,Cretaceous,carnivore,Niger
Cruxicheiros,Jurassic,carnivore,England
Cryolophosaurus,Early Jurassic,carnivore,Antarctica
Cryptosaurus,Jurassic,herbivore,England
Cumnoria,Jurassic,herbivore,England
Daanosaurus,Jurassic,herbivore,China
Dacentrurus,Jurassic,herbivore,"England, France, Spain, Portugal"
Dachongosaurus,Jurassic,herbivore,China
Daemonosaurus,Triassic,carnivore,North America
Dahalokely,Late Cretaceous,carnivore,Madagascar
Dakotadon,Cretaceous,herbivore,North America
Dakotaraptor,Cretaceous,carnivore,North America
Damalasaurus,Jurassic,herbivore,China
Dandakosaurus,Early Jurassic,carnivore,India
Darwinsaurus,Cretaceous,herbivore,England
Dashanpusaurus,Jurassic,herbivore,China
Daspletosaurus,Cretaceous,carnivore,North America
Datanglong,Cretaceous,carnivore,China
Datousaurus,Jurassic,herbivore,China
Daxiatitan,Cretaceous,herbivore,China
Deinocheirus,Cretaceous,omnivore,Mongolia
Deinodon,Cretaceous,carnivore,North America
Deinonychus,Cretaceous,carnivore,South Korea
Deinonychus,Cretaceous,carnivore,North America
Delapparentia,Cretaceous,herbivore,Spain
Deltadromeus,Cretaceous,carnivore,"Morocco, Algeria, Egypt"
Demandasaurus,Cretaceous,herbivore,Spain
Diabloceratops,Cretaceous,herbivore,North America
Diamantinasaurus,Late Cretaceous,herbivore,Australia
Diclonius,Cretaceous,herbivore,North America
Dicraeosaurus,Jurassic,herbivore,Tanzania
Dilong,Cretaceous,carnivore,China
Dilophosaurus,Jurassic,carnivore,North America
Diluvicursor,Early Cretaceous,herbivore,Australia
Dinheirosaurus,Jurassic,herbivore,Portugal
Dinodocus,Cretaceous,herbivore,England
Diplodocus,Jurassic,herbivore,North America
Diplotomodon,Cretaceous,carnivore,North America
Dolichosuchus,Triassic,carnivore,Germany
Dongbeititan,Cretaceous,herbivore,China
Dongyangopelta,Cretaceous,herbivore,China
Dongyangosaurus,Cretaceous,herbivore,China
Draconyx,Jurassic,herbivore,Portugal
Dracopelta,Jurassic,herbivore,Portugal
Dracoraptor,Jurassic,carnivore,England
Dracorex,Cretaceous,herbivore,North America
Dracovenator,Jurassic,carnivore,South Africa
Dreadnoughtus,Cretaceous,herbivore,South America
Drinker,Jurassic,herbivore,North America
Dromaeosauroides,Cretaceous,carnivore,Denmark
Dromaeosaurus,Cretaceous,carnivore,North America
Dromiceiomimus,Cretaceous,omnivore,North America
Drusilasaura,Cretaceous,herbivore,South America
Dryosaurus,Jurassic,herbivore,North America
Dryosaurus,Jurassic,herbivore,Portugal & USA
Dryptosauroides,Late Cretaceous,carnivore,India
Dryptosaurus,Cretaceous,carnivore,North America
Dubreuillosaurus,Jurassic,carnivore,France
Duriatitan,Jurassic,herbivore,England
Duriavenator,Jurassic,carnivore,England
Dynamoterror,Cretaceous,carnivore,North America
Dyoplosaurus,Cretaceous,herbivore,North America
Dysalotosaurus,Jurassic,herbivore,Tanzania
Dysganus,Cretaceous,herbivore,North America
Dyslocosaurus,Jurassic,herbivore,North America
Dystrophaeus,Jurassic,herbivore,North America
Echinodon,Cretaceous,omnivore,England
Edmontonia,Cretaceous,herbivore,North America
Edmontosaurus,Cretaceous,herbivore,North America
Efraasia,Triassic,herbivore,Germany
Einiosaurus,Cretaceous,herbivore,North America
EK troodont,Cretaceous,carnivore,Mongolia
Ekrixinatosaurus,Cretaceous,carnivore,South America
Elaltitan,Cretaceous,herbivore,South America
Elaphrosaurus,Jurassic,carnivore,Tanzania
Elmisaurus,Cretaceous,carnivore,Mongolia
Elopteryx,Cretaceous,carnivore,Romania
Elrhazosaurus,Cretaceous,herbivore,Niger
Emausaurus,Jurassic,herbivore,Germany
Enigmosaurus,Cretaceous,herbivore,Mongolia
Eoabelisaurus,Jurassic,carnivore,South America
Eocarcharia,Cretaceous,carnivore,Niger
Eocursor,Triassic or Jurassic,herbivore,South Africa
Eodromaeus,Triassic,carnivore,South America
Eolambia,Cretaceous,herbivore,North America
Eomamenchisaurus,Jurassic,herbivore,China
Eoraptor,Triassic,omnivore,South America
Eosinopteryx,Jurassic,carnivore,China
Eotrachodon,Cretaceous,herbivore,North America
Eotriceratops,Cretaceous,herbivore,North America
Eotyrannus,Cretaceous,carnivore,England
Eousdryosaurus,Jurassic,herbivore,Portugal
Epachthosaurus,Cretaceous,herbivore,South America
Epanterias,Jurassic,carnivore,North America
Epichirostenotes,Cretaceous,carnivore,North America
Epidendrosaurus,Jurassic,carnivore,China
Epidexipteryx,Jurassic,carnivore,China
Equijubus,Cretaceous,herbivore,China
Erectopus,Cretaceous,carnivore,France
Erketu,Cretaceous,herbivore,Mongolia
Erliansaurus,Cretaceous,herbivore,China
Erlikosaurus,Cretaceous,herbivore,Mongolia
Eshanosaurus,Jurassic,herbivore,China
Eucamerotus,Cretaceous,herbivore,England
Eucercosaurus,Cretaceous,herbivore,England
Eucnemesaurus,Triassic,herbivore,South Africa
Eugongbusaurus,Jurassic,herbivore,China
Euhelopus,Cretaceous,herbivore,China
Euoplocephalus,Cretaceous,herbivore,North America
Euronychodon,Cretaceous,carnivore,Portugal & Uzbekistan
Europasaurus,Jurassic,herbivore,Germany
Europatitan,Cretaceous,herbivore,Spain
Europelta,Cretaceous,herbivore,Spain
Euskelosaurus,Triassic,herbivore,"South Africa, Zimbabwe, Lesotho"
Eustreptospondylus,Jurassic,carnivore,England
Fabrosaurus,Jurassic,herbivore,Lesotho
Falcarius,Cretaceous,herbivore/omnivore,North America
Ferganasaurus,Jurassic,herbivore,Kyrgyzstan
Ferganocephale,Jurassic,herbivore,Kyrgyzstan
Ferrisaurus,Cretaceous,herbivore,North America
Fostoria,Cretaceous,herbivore,Australia
Fruitadens,Jurassic,omnivore,North America
Fukuiraptor,Cretaceous,carnivore,Japan
Fukuisaurus,Cretaceous,herbivore,Japan
Fukuititan,Cretaceous,herbivore,Japan
Fukuivenator,Cretaceous,unknown,Japan
Fulengia,Jurassic,herbivore,China
Fulgurotherium,Early Cretaceous,herbivore,Australia
Fushanosaurus,Jurassic,herbivore,China
Fusuisaurus,Cretaceous,herbivore,China
Futabasaurus,Cretaceous,carnivore,Japan
Futalognkosaurus,Cretaceous,herbivore,South America
Gadolosaurus,Cretaceous,herbivore,Mongolia
Galeamopus,Jurassic,herbivore,North America
Galleonosaurus,Early Cretaceous,herbivore,Australia
Gallimimus,Cretaceous,omnivore,Mongolia
Galvesaurus,Jurassic/Cretaceous,herbivore,Spain
Gannansaurus,Cretaceous,herbivore,China
Ganzhousaurus,Cretaceous,omnivore,China
Gargoyleosaurus,Jurassic,herbivore,North America
Garudimimus,Cretaceous,omnivore,Mongolia
Gasosaurus,Jurassic,carnivore,China
Gasparinisaura,Cretaceous,herbivore,South America
Gastonia,Cretaceous,herbivore,North America
Geminiraptor,Cretaceous,carnivore,North America
Genusaurus,Cretaceous,carnivore,France
Genyodectes,Cretaceous,carnivore,South America
Geranosaurus,Jurassic,herbivore,South Africa
Gideonmantellia,Cretaceous,herbivore,Spain
Giganotosaurus,Cretaceous,carnivore,South America
Gigantoraptor,Cretaceous,omnivore,China
Gigantosaurus,Cretaceous,herbivore,England
Gigantspinosaurus,Jurassic,herbivore,China
Gilmoreosaurus,Cretaceous,herbivore,Mongolia & Uzbekistan
Giraffatitan,Jurassic,herbivore,Tanzania
Glacialisaurus,Early Jurassic,herbivore,Antarctica
Glishades,Cretaceous,herbivore,North America
Glyptodontopelta,Cretaceous,herbivore,North America
Gnathovorax,Triassic,Carnivore,South America
Gobiceratops,Cretaceous,herbivore,Mongolia
Gobiraptor,Cretaceous,omnivorous,Mongolia
Gobisaurus,Cretaceous,herbivore,China
Gobititan,Cretaceous,herbivore,Mongolia
Gobivenator,Cretaceous,carnivore,Mongolia
Gojirasaurus,Triassic,carnivore,North America
Gondwanatitan,Cretaceous,herbivore,South America
Gongbusaurus,Jurassic,herbivore,China
Gongpoquansaurus,Cretaceous,herbivore,China
Gongxianosaurus,Jurassic,herbivore,China
Gorgosaurus,Cretaceous,carnivore,North America
Goyocephale,Cretaceous,herbivore/omnivore,Mongolia
Graciliceratops,Cretaceous,herbivore,Mongolia
Graciliraptor,Cretaceous,carnivore,China
Gravitholus,Cretaceous,herbivore,North America
Gryphoceratops,Cretaceous,herbivore,North America
Gryposaurus,Cretaceous,herbivore,North America
Gspsaurus,Cretaceous,herbivore,Pakistan
Guaibasaurus,Triassic,carnivore,South America
Gualicho,Cretaceous,carnivore,South America
Guanlong,Jurassic,carnivore,China
Gyposaurus,Jurassic,herbivore,South Africa & China (?)
Gyposaurus,Jurassic,herbivore,South Africa
Hadrosaurus,Cretaceous,herbivore,North America
Hagryphus,Cretaceous,carnivore,North America
Halticosaurus,Triassic,carnivore,Germany
Hanssuesia,Cretaceous,herbivore,North America
Hanwulosaurus,Cretaceous,herbivore,China
Haplocanthosaurus,Jurassic,herbivore,North America
Haplocheirus,Jurassic,carnivore,China
Harpymimus,Cretaceous,herbivore,Mongolia
Haya,Cretaceous,herbivore/omnivore,Mongolia
Heilongjiangosaurus,Cretaceous,herbivore,China
Heishansaurus,Cretaceous,herbivore,China
Helioceratops,Cretaceous,herbivore,China
Heptasteornis,Cretaceous,carnivore,Romania
Herrerasaurus,Triassic,carnivore,South America
Hesperonychus,Cretaceous,carnivore,North America
Hesperosaurus,Jurassic,herbivore,North America
Heterodontosaurus,Jurassic,omnivore,South Africa
Hexing,Cretaceous,herbivore,China
Hexinlusaurus,Jurassic,herbivore,China
Heyuannia,Cretaceous,carnivore,China
Hippodraco,Cretaceous,herbivore,North America
Histriasaurus,Cretaceous,herbivore,Croatia
Homalocephale,Cretaceous,herbivore/omnivore,Mongolia
Hoplitosaurus,Cretaceous,herbivore,North America
Horshamosaurus,Cretaceous,herbivore,England
Huabeisaurus,Cretaceous,herbivore,China
Huanghetitan,Cretaceous,herbivore,China
Huaxiagnathus,Cretaceous,carnivore,China
Huayangosaurus,Jurassic,herbivore,China
Hudiesaurus,Jurassic,herbivore,China
Huehuecanauhtlus,Cretaceous,herbivore,North America
Hulsanpes,Cretaceous,carnivore,Mongolia
Hungarosaurus,Cretaceous,herbivore,Hungary
Huxleysaurus,Cretaceous,herbivore,England
Hylaeosaurus,Cretaceous,herbivore,England
Hypacrosaurus,Cretaceous,herbivore,North America
Hypselosaurus,Cretaceous,herbivore,France
Hypselospinus,Cretaceous,herbivore,England
Hypsibema,Cretaceous,herbivore,North America
Hypsilophodon,Cretaceous,herbivore,England
Ichthyovenator,Cretaceous,carnivore,Laos
Ignavusaurus,Jurassic,herbivore,Lesotho
Iguanacolossus,Cretaceous,herbivore,North America
Iguanodon,Cretaceous,herbivore,"England, Belgium, USA, France, Mongolia & Spain"
Iliosuchus,Cretaceous,carnivore,England
Ilokelesia,Cretaceous,carnivore,South America
Imperobator,Late Cretaceous,carnivore,Antarctica
Incisivosaurus,Cretaceous,herbivore/omnivore,China
Indosaurus,Late Cretaceous,carnivore,India
Indosuchus,Late Cretaceous,carnivore,India
Inosaurus,Cretaceous,carnivore,Egypt
Irritator,Cretaceous,carnivore,South America
Isaberrysaura,Jurassic,herbivore,South America
Isanosaurus,Triassic,herbivore,Thailand
Ischyrosaurus,Jurassic,herbivore,England
Isisaurus,Late Cretaceous,herbivore,India
Itapeuasaurus,Cretaceous,herbivore,South America
Itemirus,Cretaceous,carnivore,Uzbekistan
Iuticosaurus,Cretaceous,herbivore,England
Jainosaurus,Late Cretaceous,herbivore,India
Jaklapallisaurus,Late Triassic,herbivore,India
Janenschia,Jurassic,herbivore,Tanzania
Jaxartosaurus,Cretaceous,herbivore,Kazakhstan
Jeholosaurus,Cretaceous,herbivore,China
Jeyawati,Cretaceous,herbivore,North America
Jianchangosaurus,Cretaceous,herbivore,China
Jiangjunosaurus,Jurassic,herbivore,China
Jiangshanosaurus,Cretaceous,herbivore,China
Jiangxisaurus,Cretaceous,omnivore,China
Jinfengopteryx,Jurassic/Cretaceous,omnivore,China
Jingshanosaurus,Jurassic,herbivore,China
Jintasaurus,Cretaceous,herbivore,China
Jinzhousaurus,Cretaceous,herbivore,China
Jiutaisaurus,Cretaceous,herbivore,China
Jobaria,Jurassic,herbivore,Niger
Jubbulpuria,Late Cretaceous,carnivore,India
Judiceratops,Cretaceous,herbivore,North America
Juratyrant,Jurassic,carnivore,England
Juravenator,Jurassic,carnivore,Germany
Kaatedocus,Jurassic,herbivore,North America
Kaijiangosaurus,Jurassic,carnivore,China
Kakuru,Early Cretaceous,?,Australia
Kamuysaurus,Cretaceous,Herbivore,Japan
Kangnasaurus,Cretaceous,herbivore,South Africa
Karongasaurus,Cretaceous,herbivore,Malawi
Katepensaurus,Cretaceous,herbivore,South America
Kayentavenator,Jurassic,carnivore,North America
Kazaklambia,Cretaceous,herbivore,Kazakhstan
Kelmayisaurus,Cretaceous,carnivore,China
Kentrosaurus,Jurassic,herbivore,Tanzania
Kerberosaurus,Cretaceous,herbivore,Russia
Khaan,Cretaceous,carnivore/omnivore,Mongolia
Khetranisaurus,Cretaceous,herbivore,Pakistan
Kileskus,Jurassic,carnivore,Russia
Kinnareemimus,Cretaceous,omnivore,Thailand
Klamelisaurus,Jurassic,herbivore,China
Kol,Cretaceous,carnivore,Mongolia
Koparion,Jurassic,carnivore,North America
Koreaceratops,Cretaceous,herbivore,South Korea
Koreanosaurus,Cretaceous,herbivore,South Korea
Koreanosaurus,Cretaceous,carnivore?,Korea
Koshisaurus,Cretaceous,herbivore,Japan
Kosmoceratops,Cretaceous,herbivore,North America
Kotasaurus,Early Jurassic,herbivore,India
Kritosaurus,Cretaceous,herbivore,North America
Kryptops,Cretaceous,carnivore,Niger
Kukufeldia,Cretaceous,herbivore,England
Kulceratops,Cretaceous,herbivore,Uzbekistan
Kulindadromeus,Jurassic,herbivore,Russia
Kunbarrasaurus,Early Cretaceous,herbivore,Australia
Kundurosaurus,Cretaceous,herbivore,Russia
Kunmingosaurus,Jurassic,herbivore,China
Labocania,Cretaceous,carnivore,North America
Laevisuchus,Late Cretaceous,carnivore,India
Lajasvenator,Cretaceous,carnivore,South America
Lamaceratops,Cretaceous,herbivore,Mongolia
Lambeosaurus,Cretaceous,herbivore,North America
Lametasaurus,Late Cretaceous,carnivore,India
Lamplughsaura,Early Jurassic,herbivore,India
Lancanjiangosaurus,Jurassic,herbivore,China
Lanzhousaurus,Cretaceous,herbivore,China
Laosaurus,Jurassic/Cretaceous,herbivore,North America
Lapampasaurus,Cretaceous,herbivore,South America
Laplatasaurus,Cretaceous,herbivore,South America
Lapparentosaurus,Middle Jurassic,herbivore,Madagascar
Laquintasaura,Jurassic,herbivore,South America
Latenivenatrix,Cretaceous,carnivore,North America
Latirhinus,Cretaceous,herbivore,North America
Leaellynasaura,Early Cretaceous,herbivore,Australia
Leinkupal,Cretaceous,herbivore,South America
Leonerasaurus,Triassic or Jurassic,herbivore,South America
